iter	Passed	Remaining
0	1	141
1	2	129
2	3	123
3	4	115
4	20	386
5	21	339
6	23	307
7	24	282
8	25	260
9	26	242
10	28	226
11	29	213
12	30	201
13	31	192
14	32	183
15	33	176
16	34	170
17	36	166
18	37	161
19	39	156
20	40	151
21	41	147
22	43	144
23	44	140
24	45	136
25	46	132
26	47	129
27	49	126
28	50	122
29	51	119
30	52	116
31	53	113
32	54	110
33	55	107
34	56	105
35	57	102
36	59	100
37	60	98
38	61	95
39	62	93
40	63	91
41	64	88
42	65	86
43	66	84
44	67	82
45	68	80
46	69	78
47	70	76
48	72	74
49	73	73
50	74	71
51	75	69
52	76	68
53	78	66
54	78	64
55	80	62
56	81	61
57	82	59
58	83	57
59	84	56
60	85	54
61	86	53
62	87	51
63	89	50
64	90	48
65	92	47
66	93	46
67	94	44
68	96	43
69	97	41
70	99	40
71	100	39
72	101	37
73	103	36
74	105	35
75	106	33
76	107	32
77	108	30
78	109	29
79	111	27
80	113	26
81	114	25
82	115	23
83	116	22
84	118	20
85	119	19
86	120	17
87	121	16
88	122	15
89	123	13
90	125	12
91	126	10
92	127	9
93	128	8
94	129	6
95	130	5
96	131	4
97	132	2
98	133	1
99	135	0
